"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"137" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "A" -5.778523761 0.206913557
"138" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "B" -7.112733348 0.293237877
"139" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "C" -8.832402881 -0.142303802
"140" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "D" -8.183653321 -0.134598386
"141" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "E" -7.717863356 -0.1799052
"142" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "F" -6.880793982 0.088538059
"143" "JP" "2014_9_HH_T14_13L" 2014 "2014_T14" "G" -6.14693259 0.17773218
"144" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "A" -5.403902357 0.396211663
"145" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "B" -6.215317212 0.49909738
"146" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "C" -8.139432159 0.209565532
"147" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "D" -8.140368181 0.200775958
"148" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "E" -7.478160724 0.28720884
"149" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "F" -6.499605515 0.017545015
"150" "JP" "2014_9_HH_T14_14L" 2014 "2014_T14" "G" -6.191011422 0.169438683
"151" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "A" -5.097188495 0.291611063
"152" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "B" -6.6767935 0.34685574
"153" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "C" -7.780905747 0.361282241
"154" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "D" -7.945652025 0.125361424
"155" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "E" -7.40880953 -0.150546089
"156" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "F" -6.891548646 0.077529657
"157" "JP" "2014_9_HH_T14_15L" 2014 "2014_T14" "G" -6.413625586 0.063472498
"158" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "A" -5.911073273 0.105767733
"159" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "B" -6.854332773 0.407851734
"160" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "C" -8.041077458 0.331522913
"161" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "D" -7.830687712 0.455075326
"162" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "E" -7.238214696 0.073618204
"163" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "F" -6.805975844 -0.097570273
"164" "JP" "2014_9_HH_T9_16R" 2014 "2014_T9" "G" -6.295229932 0.14635552
"165" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "A" -7.611619016 -0.270247146
"166" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "B" -8.119551687 0.348919786
"167" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "C" -8.4009345 0.223034122
"168" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "D" -7.441718346 0.264611511
"169" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "E" -7.037241557 0.185242887
"170" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "F" -6.091663475 0.243845938
"171" "JP" "2010_10_HH_T32_24L" 2010 "2010_T32" "G" -5.627205813 0.242942599
"172" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "A" -5.952631219 -0.185301384
"173" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "B" -7.4650663 0.161020486
"174" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "C" -7.438082931 0.261199274
"175" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "D" -6.737941662 0.288188596
"176" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "E" -6.363609834 0.171409738
"177" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "F" -6.657234154 0.354502519
"178" "JP" "2010_10_HH_T32_25L" 2010 "2010_T32" "G" -6.601419764 0.035755533
"179" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "A" -6.611683997 -0.345942972
"180" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "B" -7.930514414 0.161222612
"181" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "C" -8.739704971 -0.29767745
"182" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "D" -7.78710319 -0.090459274
"183" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "E" -7.062020209 0.121913187
"184" "JP" "2010_10_HH_T32_33L" 2010 "2010_T32" "F" -6.302490298 0.30861056
