"fish_id" "distance" "sr8786" "location"
"185" "Ma2" 200 0.711773631019476 "Mamore"
"186" "Ma2" 225 0.710886216649784 "Mamore"
"187" "Ma2" 250 0.709780155282089 "Mamore"
"188" "Ma2" 275 0.709945857725453 "Mamore"
"189" "Ma2" 300 0.709912923356216 "Mamore"
"190" "Ma2" 325 0.709430617169862 "Mamore"
"191" "Ma2" 350 0.709540726010606 "Mamore"
"192" "Ma2" 375 0.710151865464699 "Mamore"
"193" "Ma2" 400 0.709683680858017 "Mamore"
"194" "Ma2" 425 0.709396480762103 "Mamore"
"195" "Ma2" 450 0.710267722878399 "Mamore"
"196" "Ma2" 475 0.709497492623033 "Mamore"
"197" "Ma2" 500 0.709450333509302 "Mamore"
"198" "Ma2" 525 0.709808793167919 "Mamore"
"199" "Ma2" 550 0.709809809961503 "Mamore"
"200" "Ma2" 575 0.709251539982491 "Mamore"
"201" "Ma2" 600 0.709439804784948 "Mamore"
"202" "Ma2" 625 0.709877394001855 "Mamore"
"203" "Ma2" 650 0.709134729033703 "Mamore"
"204" "Ma2" 675 0.709378471458997 "Mamore"
"205" "Ma2" 700 0.709763733638544 "Mamore"
"206" "Ma2" 725 0.709131171411488 "Mamore"
"207" "Ma2" 750 0.709244409671784 "Mamore"
"208" "Ma2" 775 0.70959800172328 "Mamore"
"209" "Ma2" 800 0.708957130193764 "Mamore"
"210" "Ma2" 825 0.709398135987563 "Mamore"
"211" "Ma2" 850 0.709730086484886 "Mamore"
"212" "Ma2" 875 0.709129257508516 "Mamore"
"213" "Ma2" 900 0.709464519643404 "Mamore"
"214" "Ma2" 925 0.709665801793251 "Mamore"
"215" "Ma2" 950 0.708915523203016 "Mamore"
"216" "Ma2" 975 0.709653313272653 "Mamore"
"217" "Ma2" 1000 0.709836390613587 "Mamore"
"218" "Ma2" 1025 0.709119606894639 "Mamore"
"219" "Ma2" 1050 0.709772166528654 "Mamore"
"220" "Ma2" 1075 0.709679223708021 "Mamore"
"221" "Ma2" 1100 0.709278197710349 "Mamore"
"222" "Ma2" 1125 0.709792209315965 "Mamore"
"223" "Ma2" 1150 0.709591063141061 "Mamore"
"224" "Ma2" 1175 0.709173636968935 "Mamore"
"225" "Ma2" 1200 0.709742698811004 "Mamore"
"226" "Ma2" 1225 0.709435321662218 "Mamore"
"227" "Ma2" 1250 0.708941765485258 "Mamore"
"228" "Ma2" 1275 0.70959347780195 "Mamore"
"229" "Ma2" 1300 0.709359767034377 "Mamore"
"230" "Ma2" 1325 0.709171873221933 "Mamore"
"231" "Ma2" 1350 0.709726753502509 "Mamore"
"232" "Ma2" 1375 0.709204358831926 "Mamore"
"233" "Ma2" 1400 0.709132203358179 "Mamore"
"234" "Ma2" 1425 0.709542366946625 "Mamore"
"235" "Ma2" 1450 0.709152817966604 "Mamore"
"236" "Ma2" 1475 0.709148519561118 "Mamore"
"237" "Ma2" 1500 0.709726085432934 "Mamore"
"238" "Ma2" 1525 0.70898904075832 "Mamore"
"239" "Ma2" 1550 0.709374320051627 "Mamore"
"240" "Ma2" 1575 0.709548333726979 "Mamore"
