"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"57" 57 "Line22" "2017-12-12" 3 3 15 15 3 6 "HB-S / 420 / R / 3F" "12" 2672 2761926.3 21835.8 10579607.7 13615 93
"58" 58 "Raster22" "2017-12-12" 3 3 16 16 4 6 "HB-S / 420 / R / 3F" "12" 1414 2388918 22396.3 10242589.2 11092.1 128
"59" 59 "Line23" "2017-12-12" 3 3 17 17 3 4 "CL-S / 2110 / L / 3G" "9.1999999999999993" 3982.1 2505538.1 22115.1 10444412.7 23559.1 204.3
"60" 60 "Raster23" "2017-12-12" 3 3 18 18 4 4 "CL-S / 2110 / L / 3G" "9.1999999999999993" 2588.7 2439239.7 22717.8 7164521 17116 165.5
"61" 61 "Line24" "2017-12-12" 3 3 19 19 3 7 "HB-B / 412 / R / 3H" "14.4" 2827 3181152.7 22707.1 13418896.4 15195.6 119.5
"62" 62 "Raster24" "2017-12-12" 3 3 20 20 4 7 "HB-B / 412 / R / 3H" "14.4" 3760.4 3154715.8 22347.1 10126350.6 17255.9 121.5
"63" 63 "MACS-3 9" "2017-12-12" 3 4 21 1 1 NA NA NA 198347.6 2147854.3 1059750.6 17464051.7 173942.2 137569.9
"64" 64 "Blank9" "2017-12-12" 3 4 22 2 2 NA NA NA 558.7 7883.5 21555.1 8332.9 63.1 40.8
"65" 65 "Line25" "2017-12-12" 3 4 23 3 3 5 "CL-B / 2117 / L / 4A" "14.9" 6568.2 3393859.2 21800.5 14705591.4 20712.5 84.2
"66" 66 "Raster25" "2017-12-12" 3 4 24 4 4 5 "CL-B / 2117 / L / 4A" "14.9" 3136.3 2572850.7 21791.7 11809514.2 11382.8 121.6
"67" 67 "Line26" "2017-12-12" 3 4 25 5 3 7 "HB-B / 443 / R / 4B" "18" 2965.8 3418378.4 21848.2 14600991.1 22807.4 83
"68" 68 "Raster26" "2017-12-12" 3 4 26 6 4 7 "HB-B / 443 / R / 4B" "18" 2268.4 3154509.1 24849.6 12084672.6 24225.5 223
