"fish_code" "distance" "oto_sr8786" "river"
"203" "3068" 138.6 0.7096226 "Glenelg"
"204" "3068" 145.2 0.7105257 "Glenelg"
"205" "3068" 151.8 0.7104823 "Glenelg"
"206" "3068" 158.4 0.7100509 "Glenelg"
"207" "3068" 165 0.7098297 "Glenelg"
"208" "3068" 171.6 0.7098207 "Glenelg"
"209" "3068" 178.2 0.7101843 "Glenelg"
"210" "3068" 184.8 0.7101652 "Glenelg"
"211" "3068" 191.4 0.7099865 "Glenelg"
"212" "3068" 198 0.710142 "Glenelg"
"213" "3068" 204.6 0.7098528 "Glenelg"
"214" "3068" 211.2 0.7098535 "Glenelg"
"215" "3068" 217.8 0.7097037 "Glenelg"
"216" "3068" 224.4 0.7097554 "Glenelg"
"217" "3068" 231 0.7094122 "Glenelg"
"218" "3068" 237.6 0.7104623 "Glenelg"
"219" "3068" 244.2 0.7100706 "Glenelg"
"220" "3068" 250.8 0.7098388 "Glenelg"
"221" "3068" 257.4 0.7100134 "Glenelg"
"222" "3068" 264 0.7100049 "Glenelg"
"223" "3068" 270.6 0.7096922 "Glenelg"
"224" "3068" 277.2 0.7094487 "Glenelg"
"225" "3068" 283.8 0.71036 "Glenelg"
"226" "3068" 290.4 0.7101891 "Glenelg"
"227" "3068" 297 0.709262 "Glenelg"
"228" "3068" 303.6 0.710116 "Glenelg"
"229" "3068" 310.2 0.7097587 "Glenelg"
"230" "3068" 316.8 0.7096278 "Glenelg"
"231" "3068" 323.4 0.7089622 "Glenelg"
"232" "3068" 330 0.7091646 "Glenelg"
"233" "3068" 336.6 0.7092954 "Glenelg"
"234" "3068" 343.2 0.7099328 "Glenelg"
"235" "3068" 349.8 0.709625 "Glenelg"
"236" "3068" 356.4 0.7095747 "Glenelg"
"237" "3068" 363 0.7092279 "Glenelg"
"238" "3068" 369.6 0.7094832 "Glenelg"
"239" "3068" 376.2 0.7092772 "Glenelg"
"240" "3068" 382.8 0.7095204 "Glenelg"
"241" "3068" 389.4 0.7090462 "Glenelg"
"242" "3068" 396 0.7098142 "Glenelg"
"243" "3068" 402.6 0.7099858 "Glenelg"
"244" "3068" 409.2 0.7092201 "Glenelg"
"245" "3068" 415.8 0.7099352 "Glenelg"
"246" "3069" 0 0.7093185 "Glenelg"
"247" "3069" 6.6 0.7095163 "Glenelg"
"248" "3069" 13.2 0.709733 "Glenelg"
"249" "3069" 19.8 0.7096911 "Glenelg"
"250" "3069" 26.4 0.709952 "Glenelg"
"251" "3069" 33 0.70994 "Glenelg"
"252" "3069" 39.6 0.7097869 "Glenelg"
"253" "3069" 46.2 0.7098006 "Glenelg"
"254" "3069" 52.8 0.7094204 "Glenelg"
"255" "3069" 59.4 0.7100746 "Glenelg"
"256" "3069" 66 0.7099871 "Glenelg"
"257" "3069" 72.6 0.7091722 "Glenelg"
"258" "3069" 79.2 0.7097748 "Glenelg"
"259" "3069" 85.8 0.7097281 "Glenelg"
"260" "3069" 92.4 0.7097139 "Glenelg"
"261" "3069" 99 0.7095333 "Glenelg"
"262" "3069" 105.6 0.7095299 "Glenelg"
"263" "3069" 112.2 0.7093961 "Glenelg"
"264" "3069" 118.8 0.7095128 "Glenelg"
"265" "3069" 125.4 0.709728 "Glenelg"
"266" "3069" 132 0.7097546 "Glenelg"
"267" "3069" 138.6 0.709556 "Glenelg"
"268" "3069" 145.2 0.7093342 "Glenelg"
"269" "3069" 151.8 0.70969 "Glenelg"
"270" "3069" 158.4 0.7099325 "Glenelg"
"271" "3069" 165 0.7095316 "Glenelg"
"272" "3069" 171.6 0.7097213 "Glenelg"
"273" "3069" 178.2 0.7095666 "Glenelg"
"274" "3069" 184.8 0.7099937 "Glenelg"
"275" "3069" 191.4 0.7091727 "Glenelg"
"276" "3069" 198 0.7095014 "Glenelg"
"277" "3069" 204.6 0.7092804 "Glenelg"
"278" "3069" 211.2 0.7095882 "Glenelg"
"279" "3069" 217.8 0.7093673 "Glenelg"
"280" "3069" 224.4 0.7096328 "Glenelg"
"281" "3069" 231 0.7094601 "Glenelg"
"282" "3069" 237.6 0.7097451 "Glenelg"
"283" "3069" 244.2 0.709607 "Glenelg"
"284" "3069" 250.8 0.7096266 "Glenelg"
"285" "3069" 257.4 0.709098 "Glenelg"
"286" "3069" 264 0.7092468 "Glenelg"
"287" "3069" 270.6 0.7092955 "Glenelg"
"288" "3069" 277.2 0.7097673 "Glenelg"
"289" "3069" 283.8 0.7091832 "Glenelg"
"290" "3069" 290.4 0.7094163 "Glenelg"
"291" "3069" 297 0.709537 "Glenelg"
"292" "3069" 303.6 0.7093741 "Glenelg"
"293" "3069" 310.2 0.7093552 "Glenelg"
"294" "3069" 316.8 0.7094724 "Glenelg"
"295" "3069" 323.4 0.7088054 "Glenelg"
"296" "3069" 330 0.7091779 "Glenelg"
"297" "3069" 336.6 0.7095499 "Glenelg"
"298" "3069" 343.2 0.7097425 "Glenelg"
"299" "3069" 349.8 0.7091198 "Glenelg"
"300" "3069" 356.4 0.7097384 "Glenelg"
"301" "3069" 363 0.7100083 "Glenelg"
"302" "3069" 369.6 0.7105227 "Glenelg"
"303" "3070" 0 0.7101648 "Glenelg"
