"id" "lake" "stocking" "ecotype" "sex" "maturity" "origin" "analysis" "material" "date" "d18ovsmow_oto" "d18ovpdb_oto" "corrected_d18ovpdb_oto" "distance_oto" "age" "age_int" "tl" "weight"
"68" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@3" "LOU-13" "17-11-28" 22.40824451 -8.253778743 -7.253778743 351.3384444 1.78776591 1 451 660
"69" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@4" "LOU-13" "17-11-28" 23.80509367 -6.898821093 -5.898821093 527.0076667 2.83422291 2 451 660
"70" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@5" "LOU-13" "17-11-28" 23.45825188 -7.235261095 -6.235261095 702.6768889 4.00034511 4 451 660
"71" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@6" "LOU-13" "17-11-28" 23.46673578 -7.227031628 -6.227031628 878.3461111 5.34451853 5 451 660
"72" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@7" "LOU-13" "17-11-28" 22.66625488 -8.003506108 -7.003506108 1054.015333 6.88122483 6 451 660
"73" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@8" "LOU-13" "17-11-28" 22.53101153 -8.134693505 -7.134693505 1229.684556 8.71725901 8 451 660
"74" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@9" "LOU-13" "17-11-28" 21.20852126 -9.417522291 -8.417522291 1405.353778 10.96139824 10 451 660
"75" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-1@0" "LOU-13" "17-11-28" 22.86138457 -7.814228351 -6.814228351 1581.023 13.89291402 13 451 660
"76" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@1" "LOU-14" "17-11-28" 22.2196025 -8.436763377 -7.436763377 0 0 0 460 980
"77" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@2" "LOU-14" "17-11-28" 23.51165054 -7.183463857 -6.183463857 174.6137778 0.76642354 0 460 980
"78" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@3" "LOU-14" "17-11-28" 21.66764996 -8.972162863 -7.972162863 349.2275556 1.69169079 1 460 980
"79" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@4" "LOU-14" "17-11-28" 23.44128408 -7.251720031 -6.251720031 523.8413333 2.72494063 2 460 980
"80" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@5" "LOU-14" "17-11-28" 22.79251527 -7.881032265 -6.881032265 698.4551111 3.8938243 3 460 980
"81" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@6" "LOU-14" "17-11-28" 24.05511919 -6.656293839 -5.656293839 873.0688889 5.25954607 5 460 980
"82" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@7" "LOU-14" "17-11-28" 23.22519416 -7.461329413 -6.461329413 1047.682667 6.87104222 6 460 980
"83" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@8" "LOU-14" "17-11-28" 22.85290067 -7.822457819 -6.822457819 1222.296444 8.86089294 8 460 980
"84" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-0@9" "LOU-14" "17-11-28" 22.27699359 -8.381093449 -7.381093449 1396.910222 11.45773782 11 460 980
"85" "Louisa2012-14SD" "louisa" "O" "P" "female" "mature" "H" "G-1@0" "LOU-14" "17-11-28" 22.46064507 -8.202949678 -7.202949678 1571.524 15 15 460 980
"86" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@1" "LOU-18" "17-11-28" 22.71965354 -7.95170887 -6.95170887 0 0 0 430 685
"87" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@2" "LOU-18" "17-11-28" 21.91518021 -8.732056042 -7.732056042 121.0251667 0.55498339 0 430 685
"88" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@3" "LOU-18" "17-11-28" 22.49408161 -8.170515894 -7.170515894 242.0503333 1.22859182 1 430 685
"89" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@4" "LOU-18" "17-11-28" 22.40874356 -8.253294657 -7.253294657 363.0755 1.95611955 1 430 685
"90" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@5" "LOU-18" "17-11-28" 22.62333632 -8.045137533 -7.045137533 484.1006667 2.76647968 2 430 685
"91" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@6" "LOU-18" "17-11-28" 23.54109467 -7.154902764 -6.154902764 605.1258333 3.65269198 3 430 685
"92" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@7" "LOU-18" "17-11-28" 22.99762602 -7.682072782 -6.682072782 726.151 4.63592132 4 430 685
"93" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@8" "LOU-18" "17-11-28" 22.86238268 -7.813260179 -6.813260179 847.1761667 5.74134776 5 430 685
"94" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-0@9" "LOU-18" "17-11-28" 22.92526335 -7.7522653 -6.7522653 968.2013333 6.99882893 6 430 685
"95" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-1@0" "LOU-18" "17-11-28" 22.57343103 -8.093546166 -7.093546166 1089.2265 8.49741918 8 430 685
"96" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-1@1" "LOU-18" "17-11-28" 22.49757498 -8.167127289 -7.167127289 1210.251667 10.28350681 10 430 685
"97" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-1@2" "LOU-18" "17-11-28" 23.2406648 -7.446322737 -6.446322737 1331.276833 12.53798748 12 430 685
"98" "Louisa2012-18SD" "louisa" "O" "P" "male" "mature" "H" "H-1@3" "LOU-18" "17-11-28" 23.01409477 -7.666097933 -6.666097933 1452.302 15.57823894 15 430 685
"99" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@1" "LOU-34" "17-11-28" 23.42182101 -7.270599398 -6.270599398 0 0 0 486 1160
"100" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@2" "LOU-34" "17-11-28" 22.42670947 -8.235867549 -7.235867549 117.2612308 0.44069189 0 486 1160
"101" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@3" "LOU-34" "17-11-28" 22.97766391 -7.701436235 -6.701436235 234.5224615 0.96568076 0 486 1160
"102" "Louisa2012-34SD" "louisa" "O" "P" "female" "mature" "L" "I-0@4" "LOU-34" "17-11-28" 23.48370358 -7.210572692 -6.210572692 351.7836923 1.55703392 1 486 1160
