"Sample_ID" "ASN" "Natal_region" "Otolith_radius_um" "Otolith_87Sr86Sr" "SE2" "SrV" "Outmigration_year" "Capture_FL_cm" "Capture_Age" "Sex" "CWT_no"
"221" "SR11272" 11272 "y" 516 0.707682447 0.000126 2.729 2000 62 2 "F" 60254
"222" "SR11272" 11272 "y" 556 0.70776844 0.00016 2.70362 2000 62 2 "F" 60254
"223" "SR11272" 11272 "" 571 0.70776544 0.00015 2.68135 2000 62 2 "F" 60254
"224" "SR11272" 11272 "" 595 0.708626375 0.000124 3.2054 2000 62 2 "F" 60254
"225" "SR11272" 11272 "" 605 0.7082944 0.000194 2.96981 2000 62 2 "F" 60254
"226" "SR11272" 11272 "" 645 0.709058342 0.000114 3.2383 2000 62 2 "F" 60254
"227" "SR11272" 11272 "" 686 0.709030345 9.2e-05 3.29736 2000 62 2 "F" 60254
"228" "SR11272" 11272 "" 731 0.709124337 0.000122 3.1495 2000 62 2 "F" 60254
"229" "SR11272" 11272 "" 769 0.709148336 0.000102 3.30257 2000 62 2 "F" 60254
"230" "SR11279" 11279 "" 6.54 0.708582567 0.000151908 2.470059821 1999 79 3 "M" NA
"231" "SR11279" 11279 "" 47.74 0.708501691 0.000232399 2.476475719 1999 79 3 "M" NA
"232" "SR11279" 11279 "" 74.14 0.70831532 0.000146278 2.836039882 1999 79 3 "M" NA
"233" "SR11279" 11279 "" 108.67 0.707918356 0.000129334 3.058089253 1999 79 3 "M" NA
"234" "SR11279" 11279 "" 146.59 0.707694845 0.000178368 3.086654741 1999 79 3 "M" NA
"235" "SR11279" 11279 "" 181.46 0.707217509 0.000144337 2.492841629 1999 79 3 "M" NA
"236" "SR11279" 11279 "" 218.7 0.706585357 0.000169334 2.621423996 1999 79 3 "M" NA
"237" "SR11279" 11279 "y" 257.98 0.706855815 0.000149175 2.701520464 1999 79 3 "M" NA
"238" "SR11279" 11279 "y" 297.25 0.70680189 0.000192034 2.553789087 1999 79 3 "M" NA
"239" "SR11279" 11279 "y" 338.55 0.70671453 0.000136627 2.395312404 1999 79 3 "M" NA
"240" "SR11279" 11279 "y" 379.51 0.706727655 0.000104048 2.742844091 1999 79 3 "M" NA
"241" "SR11279" 11279 "y" 420.14 0.706524606 0.000184208 2.68128064 1999 79 3 "M" NA
"242" "SR11279" 11279 "y" 461.44 0.706518819 0.000209169 2.640041605 1999 79 3 "M" NA
"243" "SR11279" 11279 "y" 505.12 0.706673964 0.000157221 2.53193349 1999 79 3 "M" NA
"244" "SR11279" 11279 "" 532.2 0.706595667 0.000151088 2.656244497 1999 79 3 "M" NA
"245" "SR11279" 11279 "" 547.44 0.706483705 0.000151911 2.566080073 1999 79 3 "M" NA
"246" "SR11279" 11279 "" 579.94 0.70739194 0.000252382 3.152346786 1999 79 3 "M" NA
"247" "SR11279" 11279 "" 593.82 0.707980783 0.000169632 3.407404404 1999 79 3 "M" NA
"248" "SR11279" 11279 "" 633.77 0.708752702 0.000106354 3.803708968 1999 79 3 "M" NA
"249" "SR11279" 11279 "" 675.07 0.708933213 0.000147907 3.98071429 1999 79 3 "M" NA
"250" "SR11279" 11279 "" 719.42 0.709059746 0.000149417 4.092919317 1999 79 3 "M" NA
"251" "SR11279" 11279 "" 758.35 0.709015033 8.96e-05 4.021496678 1999 79 3 "M" NA
"252" "SR11281" 11281 "" 18.28 0.708477142 0.000124237 1.952440684 1999 78 3 "F" NA
"253" "SR11281" 11281 "" 58.23 0.708373071 0.000112004 2.334772277 1999 78 3 "F" NA
"254" "SR11281" 11281 "" 101.23 0.708198448 0.00010234 2.48185439 1999 78 3 "F" NA
"255" "SR11281" 11281 "" 135.76 0.707839734 0.000160255 2.45621418 1999 78 3 "F" NA
"256" "SR11281" 11281 "" 174.69 0.707612853 0.0001393 2.382576076 1999 78 3 "F" NA
"257" "SR11281" 11281 "" 210.92 0.707072488 0.000170854 2.275152109 1999 78 3 "F" NA
"258" "SR11281" 11281 "" 249.51 0.706573961 0.000157806 2.172402052 1999 78 3 "F" NA
"259" "SR11281" 11281 "y" 288.11 0.706445238 0.000135375 2.24360213 1999 78 3 "F" NA
"260" "SR11281" 11281 "y" 329.41 0.706454318 0.000175998 2.108924963 1999 78 3 "F" NA
"261" "SR11281" 11281 "y" 369.02 0.70653227 0.000134068 1.912139206 1999 78 3 "F" NA
"262" "SR11281" 11281 "y" 407.95 0.706495548 0.000153791 1.95750711 1999 78 3 "F" NA
"263" "SR11281" 11281 "y" 450.61 0.706479595 0.000154733 2.108864563 1999 78 3 "F" NA
"264" "SR11281" 11281 "y" 489.21 0.706557061 0.000157777 2.197106783 1999 78 3 "F" NA
"265" "SR11281" 11281 "" 512.57 0.706539599 0.000185476 1.985814935 1999 78 3 "F" NA
"266" "SR11281" 11281 "" 529.83 0.706656682 0.000166628 2.314309987 1999 78 3 "F" NA
"267" "SR11281" 11281 "" 553.87 0.706991929 0.000137847 2.544404399 1999 78 3 "F" NA
"268" "SR11281" 11281 "" 571.81 0.707893646 0.000192871 3.018158425 1999 78 3 "F" NA
"269" "SR11281" 11281 "" 610.07 0.708726636 7.8e-05 3.214763927 1999 78 3 "F" NA
