"id" "type" "sex" "site" "trap" "utm59e" "utm59n" "cluster" "length" "weight" "gonade_w" "srlarvae" "balarvae" "sradult" "baadult" "increment1" "increment2" "increment3" "increment4" "otolithradius" "age"
"52" "L8LY" "Behaviour" "F" "Waipori" NA NA NA NA 52.48 NA NA 0.773399036987673 0.00200141714105964 1.10003357780507 0.00343909717540004 NA NA NA NA NA NA
"53" "L3VY" "Behaviour" "M" "Waipori" NA NA NA NA 45.41 NA NA 1.03238697840036 0.00158756694716986 0.81592986452163 0.00306831696414705 NA NA NA NA NA NA
"54" "L8VY" "Behaviour" "F" "Waipori" NA NA NA NA 56.39 NA NA 1.51051870482572 0.00375846328693509 0.961491812305744 0.00174729511593403 NA NA NA NA NA NA
"55" "L8RO" "Behaviour" "M" "Waipori" NA NA NA NA 47.17 NA NA 1.03507910100015 0.00193255264262687 1.25038741730022 0.00191630446768429 NA NA NA NA NA NA
"56" "L10LY" "Behaviour" "F" "Waipori" NA NA NA NA 59.38 NA NA 1.44889376660933 0.00447839787923221 0.835575869851705 0.00184272954545027 NA NA NA NA NA NA
"57" "L8RY" "Behaviour" "M" "Waipori" NA NA NA NA 51.64 NA NA 1.01576509851297 0.00155093335473279 0.695999412234536 0.00101385510912773 NA NA NA NA NA NA
"58" "L5LO" "Behaviour" "F" "Waipori" NA NA NA NA 51.37 NA NA 1.05637521589386 0.00145712056945894 0.864619394565454 0.00232510896608521 NA NA NA NA NA NA
"59" "L5VY" "Behaviour" "F" "Waipori" NA NA NA NA 49.68 NA NA 0.877039546989062 0.00214350026761889 0.801797005947373 0.00202768018645176 NA NA NA NA NA NA
"60" "L5LY" "Behaviour" "F" "Waipori" NA NA NA NA 57.85 NA NA 1.13570667841488 0.00177042075222925 0.541271059715434 0.0007857841542401 NA NA NA NA NA NA
"61" "L10RY" "Behaviour" "M" "Waipori" NA NA NA NA 41.92 NA NA 0.821871399561062 0.00172401617511059 0.730367453129609 0.00235918278462836 NA NA NA NA NA NA
"62" "L5RY" "Behaviour" "F" "Waipori" NA NA NA NA 51.14 NA NA 1.01712488391227 0.00136147254132167 0.64357720678942 0.00306502337346613 NA NA NA NA NA NA
"63" "L10VY" "Behaviour" "F" "Waipori" NA NA NA NA 49.11 NA NA 0.886609194543478 0.0015388593063015 1.11695397608574 0.00178372671950229 NA NA NA NA NA NA
"64" "L4LO" "Behaviour" "M" "Waipori" NA NA NA NA 43.67 NA NA 1.22406330048776 0.00196850217055952 0.776406127895343 0.00211994354362417 NA NA NA NA NA NA
"65" "L12LO" "Behaviour" "M" "Waipori" NA NA NA NA 56.59 NA NA 0.965254089276841 0.00178673266281307 0.772663973679853 0.00173612045252992 NA NA NA NA NA NA
"66" "U2RY" "Behaviour" "M" "Upstream" NA NA NA "UL" 52.48 NA NA 0.889471206463074 0.00115493546838077 0.611651367802055 0.00362507404628381 NA NA NA NA NA NA
"67" "L12RO" "Behaviour" "F" "Waipori" NA NA NA NA 45.72 NA NA 1.00409026222047 0.00244456208552362 0.845383216274083 0.00271409894651404 NA NA NA NA NA NA
"68" "L5RO" "Behaviour" "F" "Waipori" NA NA NA NA 51.66 NA NA 0.923583836121323 0.0027932616089783 0.910577905748831 0.00224558678334693 NA NA NA NA NA NA
"69" "L11RO" "Behaviour" "M" "Waipori" NA NA NA NA 49.34 NA NA 0.914205237508467 0.00143783375452899 1.01104235424718 0.00298475275791415 NA NA NA NA NA NA
"70" "U1LO" "Behaviour" "M" "Upstream" NA NA NA "UL" 47.43 NA NA 1.12049380113145 0.00184733692868876 0.813827873671897 0.00130872916063612 NA NA NA NA NA NA
"71" "L2RY" "Behaviour" "F" "Waipori" NA NA NA NA 48.87 NA NA 0.940387753766581 0.00210819804231776 0.710921798836379 0.00202876805479401 NA NA NA NA NA NA
"72" "L2LO" "Behaviour" "F" "Waipori" NA NA NA NA 47.09 NA NA 0.93107551359936 0.00263227583680153 0.655627169247585 0.00439852823278346 NA NA NA NA NA NA
"73" "L13RY" "Behaviour" "M" "Waipori" NA NA NA NA 51.06 NA NA 1.30459472021927 0.00701595884231449 1.07761604195544 0.0027903522977918 NA NA NA NA NA NA
"74" "U1LY" "Behaviour" "M" "Upstream" NA NA NA "UL" 51.9 NA NA 0.822921228377831 0.00145205974694227 0.50127912948731 0.00255761342223901 NA NA NA NA NA NA
"75" "D1RY" "Behaviour" "F" "Downstream" NA NA NA "DL" 46.94 NA NA 1.25305367419106 0.00383856844542529 1.08352475770932 0.00162876882816643 NA NA NA NA NA NA
"76" "L9RY" "Behaviour" "F" "Waipori" NA NA NA NA 42.76 NA NA 0.983557380517916 0.00151466893857129 0.949268282297995 0.00282549217325773 NA NA NA NA NA NA
"77" "L7RO" "Behaviour" "M" "Waipori" NA NA NA NA 61.81 NA NA 0.782480642683087 0.00249520910775734 0.916125387640285 0.00167628727836052 NA NA NA NA NA NA
"78" "L7RY" "Behaviour" "F" "Waipori" NA NA NA NA 42.81 NA NA 1.20922019642412 0.00213757485104855 1.10015041138469 0.00557136526419542 NA NA NA NA NA NA
"79" "L7LY" "Behaviour" "M" "Waipori" NA NA NA NA 51.11 NA NA 0.907546643593461 0.00195429306336609 1.12830192393537 0.0038258808104716 NA NA NA NA NA NA
"80" "L6VY" "Behaviour" "F" "Waipori" NA NA NA NA 48.43 NA NA 0.968440486779536 0.00130422714331962 0.634961363782389 0.00238480482811026 NA NA NA NA NA NA
"81" "L6RO" "Behaviour" "M" "Waipori" NA NA NA NA NA NA NA 1.36251195247895 0.0044153322556856 0.908145314783147 0.00296240245042852 NA NA NA NA NA NA
"82" "WaiN-01" "Diet" "F" "Waipori" "N6AM" 430608 4909198 "SL" 47.4 1.089 0.039 1.57834929799023 0.00386774418906442 0.993044593800026 0.00278736563895177 0.237446808510638 0.474893617021277 0.217659574468085 NA 0.93 1
"83" "WaiN-02" "Diet" "F" "Waipori" "N6AM" 430608 4909198 "SL" 44.26 0.915 0.044 0.954170873846282 0.00179267254568636 1.05564630179542 0.00349282234738362 0.242823529411765 0.394588235294118 0.222588235294118 NA 0.86 1
"84" "WaiN-03" "Diet" "F" "Waipori" "N6AM" 430608 4909198 "SL" 50.47 1.308 0.021 0.940434305378688 0.00245406839585907 0.867976681231983 0.00245196716417468 0.25 0.4 0.25 NA 0.9 1
"85" "WaiN-04" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 57.06 2.004 0.014 1.06059885099074 0.00240659870615231 1.08762283352455 0.00344626876262467 0.237575757575758 0.504848484848485 0.237575757575758 NA 0.98 1
"86" "WaiN-05" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 44.11 0.905 0.014 0.896037232493703 0.00195411392380909 0.998999165150181 0.00325642564890445 0.26325 0.354375 0.192375 NA 0.81 1
"87" "WaiN-06" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 59.75 2.336 0.012 1.03786879909609 0.0048464240719275 0.796165034644666 0.00265165205358864 0.303061224489796 0.52530612244898 0.161632653061225 NA 0.99 1
"88" "WaiN-07" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 52.87 1.435 0.01 0.87407675567915 0.00135876023459302 0.85545304005714 0.00230919184476361 0.28 0.46 0.16 NA 0.9 1
"89" "WaiN-08" "Diet" "F" "Waipori" "N6AM" 430608 4909198 "SL" 51.27 1.437 0.024 0.950279271621348 0.00111502033270129 1.20719029175315 0.00328274748936889 0.293020833333333 0.474895833333333 0.202083333333333 NA 0.97 1
"90" "WaiN-09" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 56.1 1.825 0.006 0.98343357855284 0.00180844929745755 1.05062732669194 0.00314132166861302 0.247159090909091 0.32625 0.296590909090909 NA 0.87 1
"91" "WaiN-10" "Diet" "M" "Waipori" "N6AM" 430608 4909198 "SL" 49.95 1.404 0.011 1.1352251020987 0.0010916302653938 0.990118075527989 0.00201988197520156 0.384418604651163 0.313604651162791 0.171976744186047 NA 0.87 1
